"Código","Unidade Territorial","UF","Referência","Quantidade de famílias beneficiárias do Programa Bolsa Família em situação de trabalho infantil","Quantidade de pessoas beneficiárias do Programa Bolsa Família em situação de trabalho infantil"
"411300","JUSSARA","PR","08/2026","0","0"
"410850","GENERAL CARNEIRO","PR","08/2026","1","1"
"411820","PARANAGUÁ","PR","08/2026","0","0"
"412785","TRÊS BARRAS DO PARANÁ","PR","08/2026","1","1"
"412175","RESERVA DO IGUAÇU","PR","08/2026","25","37"
"410420","CAMPO LARGO","PR","08/2026","1","1"
"412570","SÃO MIGUEL DO IGUAÇU","PR","08/2026","0","0"
"412410","SANTO ANTÔNIO DA PLATINA","PR","08/2026","1","1"
"411440","MANGUEIRINHA","PR","08/2026","0","0"
"411573","MATO RICO","PR","08/2026","1","1"
"411450","MANOEL RIBAS","PR","08/2026","2","3"
"411520","MARINGÁ","PR","08/2026","1","1"
"411725","NOVA PRATA DO IGUAÇU","PR","08/2026","0","0"
"411930","PINHÃO","PR","08/2026","1","1"
"410430","CAMPO MOURÃO","PR","08/2026","0","0"
"411130","ITAÚNA DO SUL","PR","08/2026","0","0"
"410440","CÂNDIDO DE ABREU","PR","08/2026","0","0"
"410960","GUARATUBA","PR","08/2026","0","0"
"412627","SAUDADE DO IGUAÇU","PR","08/2026","0","0"
"411750","PAIÇANDU","PR","08/2026","0","0"
"411570","MATINHOS","PR","08/2026","1","1"
"410840","FRANCISCO BELTRÃO","PR","08/2026","1","1"
"411370","LONDRINA","PR","08/2026","2","2"
"412710","TELÊMACO BORBA","PR","08/2026","1","1"
"410765","FAZENDA RIO GRANDE","PR","08/2026","3","5"
"410040","ALMIRANTE TAMANDARÉ","PR","08/2026","1","1"
"412667","TAMARANA","PR","08/2026","0","0"
"412810","UMUARAMA","PR","08/2026","1","1"
"411950","PIRAQUARA","PR","08/2026","3","6"
"412170","RESERVA","PR","08/2026","0","0"
"410550","CIANORTE","PR","08/2026","0","0"
"412125","RAMILÂNDIA","PR","08/2026","1","1"
"411770","PALMEIRA","PR","08/2026","1","1"
"412625","SARANDI","PR","08/2026","0","0"
"412545","SÃO JOSÉ DAS PALMEIRAS","PR","08/2026","3","4"
"412770","TOLEDO","PR","08/2026","0","0"
"412402","SANTA TEREZA DO OESTE","PR","08/2026","0","0"
"411585","MERCEDES","PR","08/2026","0","0"
"412265","ROSÁRIO DO IVAÍ","PR","08/2026","0","0"
"411915","PINHAIS","PR","08/2026","0","0"
"410230","BALSA NOVA","PR","08/2026","0","0"
"412240","ROLÂNDIA","PR","08/2026","1","1"
"410020","ADRIANÓPOLIS","PR","08/2026","4","4"
"412800","UBIRATÃ","PR","08/2026","0","0"
