"Código","Unidade Territorial","UF","Referência","Quantidade de pessoas em famílias beneficiárias do Programa Bolsa Família em situação de pobreza, segundo a faixa do Programa*","Quantidade de pessoas em famílias de baixa renda** beneficiárias do Programa Bolsa Família","Quantidade de pessoas em famílias com renda per capita mensal acima de meio salário-mínimo*** beneficiárias do Programa Bolsa Família"
"410010","ABATIÁ","PR","08/2026","811","352","0"
"410010","ABATIÁ","PR","06/2026","825","351","0"
"410010","ABATIÁ","PR","05/2026","828","332","0"
"410010","ABATIÁ","PR","04/2026","823","381","0"
"410010","ABATIÁ","PR","03/2026","837","383","0"
"410010","ABATIÁ","PR","02/2026","819","437","0"
"410010","ABATIÁ","PR","05/2025","970","414","0"
"410010","ABATIÁ","PR","08/2025","882","426","0"
"410010","ABATIÁ","PR","03/2025","973","449","0"
"410010","ABATIÁ","PR","09/2025","859","448","0"
"410010","ABATIÁ","PR","10/2025","836","446","0"
"410010","ABATIÁ","PR","11/2025","826","419","0"
"410010","ABATIÁ","PR","06/2025","979","413","0"
"410010","ABATIÁ","PR","12/2025","821","422","0"
"410010","ABATIÁ","PR","04/2025","969","432","0"
"410010","ABATIÁ","PR","01/2026","805","436","0"
"410010","ABATIÁ","PR","02/2025","1030","408","0"
"410010","ABATIÁ","PR","07/2025","934","420","0"
"410010","ABATIÁ","PR","10/2024","1019","399","0"
"410010","ABATIÁ","PR","08/2024","1041","391","0"
"410010","ABATIÁ","PR","10/2023","1068","382","0"
"410010","ABATIÁ","PR","06/2024","1138","359","0"
"410010","ABATIÁ","PR","01/2025","1007","413","0"
"410010","ABATIÁ","PR","05/2024","1132","382","0"
"410010","ABATIÁ","PR","12/2024","1062","362","0"
"410010","ABATIÁ","PR","09/2024","1062","371","0"
"410010","ABATIÁ","PR","07/2024","1040","428","0"
"410010","ABATIÁ","PR","11/2024","1057","379","0"
"410010","ABATIÁ","PR","03/2024","1051","395","0"
"410010","ABATIÁ","PR","02/2024","1056","374","0"
"410010","ABATIÁ","PR","04/2024","1109","393","0"
"410010","ABATIÁ","PR","05/2023","1081","333","0"
"410010","ABATIÁ","PR","09/2023","1055","383","0"
"410010","ABATIÁ","PR","02/2023","1172","271","0"
"410010","ABATIÁ","PR","03/2023","1138","277","0"
"410010","ABATIÁ","PR","08/2023","1046","383","0"
"410010","ABATIÁ","PR","07/2023","1018","438","0"
"410010","ABATIÁ","PR","06/2023","1091","334","0"
"410010","ABATIÁ","PR","12/2023","1049","404","0"
"410010","ABATIÁ","PR","01/2024","1049","397","0"
"410010","ABATIÁ","PR","11/2023","1032","421","0"
"410010","ABATIÁ","PR","04/2023","1123","304","0"
"410020","ADRIANÓPOLIS","PR","08/2024","1235","336","0"
"410020","ADRIANÓPOLIS","PR","08/2023","1195","367","0"
"410020","ADRIANÓPOLIS","PR","11/2023","1217","365","0"
"410020","ADRIANÓPOLIS","PR","05/2023","1220","291","0"
"410020","ADRIANÓPOLIS","PR","06/2023","1210","307","0"
"410020","ADRIANÓPOLIS","PR","02/2023","1227","239","0"
"410020","ADRIANÓPOLIS","PR","03/2023","1214","251","0"
"410020","ADRIANÓPOLIS","PR","10/2023","1232","355","0"
"410020","ADRIANÓPOLIS","PR","12/2023","1236","343","0"
"410020","ADRIANÓPOLIS","PR","01/2024","1231","355","0"
"410020","ADRIANÓPOLIS","PR","07/2023","1181","402","0"
"410020","ADRIANÓPOLIS","PR","04/2023","1234","271","0"
"410020","ADRIANÓPOLIS","PR","09/2023","1224","355","0"
"410020","ADRIANÓPOLIS","PR","04/2024","1264","332","0"
