"Referência","Quantidade de pessoas do sexo masculino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"01/2015","","","201982","40553","63822","61372","35343","32375","26768","20620","15705","9808","6451"
"02/2015","67766","64127","","","","","","","","","","",""
"03/2015","66546","64025","","","","","","","","","","",""
"04/2015","66555","61943","","","","","","","","","","",""
"05/2015","65599","61813","","","","","","","","","","",""
"06/2015","66255","62479","","","","","","","","","","",""
"07/2015","67130","62950","","","","","","","","","","",""
"08/2015","67166","62916","","","","","","","","","","",""
"09/2015","70932","64457","","","","","","","","","","",""
"10/2015","73073","63588","","","","","","","","","","",""
"11/2015","72254","61691","","","","","","","","","","",""
"12/2015","73937","62609","","","","","","","","","","",""
"01/2016","75568","61664","183565","36086","57011","56047","31234","28689","23567","18745","14206","8921","5008"
"02/2016","74516","61624","","","","","","","","","","",""
"03/2016","74864","60477","","","","","","","","","","",""
"04/2016","75656","60778","","","","","","","","","","",""
"05/2016","74101","60370","","","","","","","","","","",""
"06/2016","74399","60768","","","","","","","","","","",""
"07/2016","76303","61892","","","","","","","","","","",""
"08/2016","75470","61803","","","","","","","","","","",""
"09/2016","78653","62029","","","","","","","","","","",""
"10/2016","78977","62451","","","","","","","","","","",""
"11/2016","76500","60703","","","","","","","","","","",""
"12/2016","77108","60312","","","","","","","","","","",""
"01/2017","76531","58772","164316","31293","52054","52734","28314","24899","20524","16357","12193","7776","3107"
"02/2017","75926","58956","","","","","","","","","","",""
"03/2017","74644","58709","","","","","","","","","","",""
"04/2017","74746","58372","","","","","","","","","","",""
"05/2017","74086","57913","161392","31257","58643","51243","28276","24947","20689","16527","12712","8457","4304"
"06/2017","73864","57769","160284","30846","57634","51127","28112","24686","20520","16439","12675","8394","4335"
"07/2017","70522","54245","149123","28149","51555","47001","25792","22735","19141","15484","12072","7899","3805"
"08/2017","74994","56662","154786","28946","54087","50340","27278","23854","20098","16259","12723","8404","4206"
"09/2017","74574","55521","150582","27862","52356","49593","26459","23085","19590","15946","12577","8319","4081"
"10/2017","74930","55756","150718","27750","52081","50059","26570","23209","19640","16061","12691","8423","4020"
"11/2017","76504","56517","151811","27700","52452","51462","27182","23600","20003","16374","12922","8725","4183"
"12/2017","77230","57243","152575","27795","52751","52213","27371","23788","20189","16558","13056","8907","4263"
"01/2018","78275","58132","154081","27958","52603","53135","27799","24097","20402","16771","13281","9037","4252"
"02/2018","77668","58597","157607","30414","60251","53129","28093","25243","20917","17585","13913","10041","5687"
"03/2018","77857","59095","158046","30463","60185","53542","28268","25397","21024","17681","13994","10122","5649"
"04/2018","74729","56346","149598","28354","54679","49869","26444","23759","19755","16737","13321","9559","5189"
"05/2018","75779","57223","151521","28552","55159","50801","26871","24068","20000","16956","13520","9640","5121"
"06/2018","74516","56025","146942","27397","52952","49698","25962","23165","19327","16585","13266","9525","5022"
"07/2018","74586","56388","147776","27498","52709","49419","25965","23236","19436","16661","13318","9495","4706"
"08/2018","75562","57505","149913","27659","53110","50379","26383","23550","19721","16911","13559","9639","4866"
"09/2018","73175","55634","144100","26419","50327","47890","25376","22675","19087","16626","13255","9433","4443"
"10/2018","74435","56570","145797","26626","50624","49006","25895","23085","19501","17020","13562","9701","4545"
"11/2018","75922","57873","148122","26910","51357","50361","26525","23565","20001","17461","13921","9975","4661"
"12/2018","75786","57180","145497","26070","49716","50414","26425","23403","19995","17559","14048","10091","4643"
"01/2019","73388","55661","140576","24984","46285","47997","25245","22367","18916","16693","13434","9538","3819"
"02/2019","73102","56411","145983","26837","53439","48926","25370","23251","19856","17352","14306","10538","5501"
"03/2019","73879","57403","147683","27075","53893","49899","25867","23598","20169","17607","14571","10767","5672"
"04/2019","74040","57635","148031","26970","53353","49833","25832","23593","20215","17654","14666","10801","5648"
