"Referência","Quantidade de Benefícios de Renda de Cidadania (BRC)","Quantidade de Benefícios Complementares (BCO)","Quantidade de Benefícios Primeira Infância (BPI) PBF","Quantidade de Benefícios Variáveis Familiares Gestante (BVG)","Quantidade de Benefícios Variáveis Familiares Nutriz (BVN)","Quantidade de Benefícios Variáveis Familiares Criança (BV)","Quantidade de Benefícios Variáveis Familiares Adolescente (BVA)","Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados","Quantidade de Benefícios Variáveis Familiares","Quantidade de Benefícios Extraordinários de Transição (BET)","Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso"
"03/2023","","","316084","","","","","","","",""
"04/2023","","","317435","","","","","","","",""
"05/2023","","","324001","","","","","","","",""
"06/2023","1631054","535374","323285","37389","","391749","68169","459918","497307","6614",""
"07/2023","1635939","533700","324492","35239","","392324","70683","463007","498246","6491",""
"08/2023","1659584","544152","329452","33312","","395296","73311","468607","501919","6346",""
"09/2023","1696583","555509","337986","29926","","403600","76830","480430","510356","6295",""
"10/2023","1717459","560810","342289","25834","10079","408469","79662","488131","524044","6127",""
"11/2023","1713383","557048","343441","26372","12259","408557","81309","489866","528497","5952","1139"
"12/2023","1723679","559850","345318","20051","14528","409913","83542","493455","528034","5868","1035"
"01/2024","1719754","559092","343186","17809","16675","409623","71400","481023","515507","5812",""
"02/2024","1718454","562817","343248","14848","18267","407119","73534","480653","513768","5697",""
"03/2024","1701636","555163","339777","17136","20164","406261","75761","482022","519322","5553",""
"04/2024","1704864","554303","339626","26643","12774","408345","78660","487005","526422","5446",""
"05/2024","1706117","556552","338046","32478","12782","408474","81046","489520","534780","5265",""
"06/2024","1713327","558969","338216","41008","12506","410765","83723","494488","548002","5199",""
"07/2024","1710880","561907","341949","42336","13523","410165","84755","494920","550779","5000",""
"08/2024","1695559","557242","337961","43431","13695","406997","86277","493274","550400","4890",""
"09/2024","1680981","553041","334829","45419","13899","403975","87672","491647","550965","4784",""
"10/2024","1689495","556887","339259","47129","14307","406629","89267","495896","557332","4642",""
"11/2024","1684969","556046","336769","49113","13627","405994","90989","496983","559723","4604",""
"12/2024","1687589","557983","336629","46074","13510","405708","92792","498500","558084","4528",""
"01/2025","1659941","544418","332334","38995","12328","402706","69167","471873","523196","4405",""
"02/2025","1664480","546843","330475","30276","11683","404288","71876","476164","518123","4379",""
"03/2025","1670784","547812","331998","20993","11582","407560","74904","482464","515039","4303",""
"04/2025","1664966","546320","328110","22437","9996","407545","77342","484887","517320","4277",""
"05/2025","1657578","544439","322082","22437","9996","407204","80067","487271","519704","4255",""
"06/2025","1658552","545353","318124","22437","9996","408315","83409","491724","524157","",""
"07/2025","1558246","517292","307562","22505","8958","383224","78240","461464","492927","",""
"08/2025","1528453","506544","303678","21870","10016","375888","78239","454127","486013","",""
"09/2025","1512209","500173","301289","21870","10016","372757","79473","452230","484116","",""
"10/2025","1492892","492975","297450","21870","10016","369547","80454","450001","481887","",""
"11/2025","1457068","483127","290739","19075","11928","361207","79864","441071","472074","",""
"12/2025","1494369","494146","303815","19963","14925","367933","81676","449609","484497","",""
"01/2026","1500929","494750","303151","22054","12204","371698","63633","435331","469589","",""
"02/2026","1505715","496630","301190","22710","10741","374416","66425","440841","474292","",""
"03/2026","1494883","503391","298871","22586","11307","371109","68096","439205","473098","",""
"04/2026","1511154","504959","300974","22660","11682","374923","70663","445586","479928","",""
"05/2026","1526277","510141","304829","22583","12328","379165","73394","452559","487470","",""
"06/2026","1546102","519739","306304","23417","11238","383242","76413","459655","494310","",""
"07/2026","1530378","518046","303752","23206","11835","377842","77087","454929","489970","",""
"08/2026","1528704","517895","302467","25206","13144","378130","78866","456996","495346","",""
