"Referência","Quantidade de pessoas em famílias beneficiárias do Programa Bolsa Família em situação de pobreza, segundo a faixa do Programa*","Quantidade de pessoas em famílias de baixa renda** beneficiárias do Programa Bolsa Família","Quantidade de pessoas em famílias com renda per capita mensal acima de meio salário-mínimo*** beneficiárias do Programa Bolsa Família"
"02/2023","1514289","164925","0"
"03/2023","1459733","150268","0"
"04/2023","1466618","149111","0"
"05/2023","1477110","155719","0"
"06/2023","1466511","164548","0"
"07/2023","1281256","354690","0"
"08/2023","1327969","331622","0"
"09/2023","1374384","322207","0"
"10/2023","1399405","318066","0"
"11/2023","1328767","384623","0"
"12/2023","1345989","377694","0"
"01/2024","1351305","368453","0"
"02/2024","1361779","356684","0"
"03/2024","1290078","411582","0"
"04/2024","1300365","404523","0"
"05/2024","1314175","391970","0"
"06/2024","1330911","382440","0"
"07/2024","1285474","425417","0"
"08/2024","1282790","412772","0"
"09/2024","1283170","397813","0"
"10/2024","1263099","426400","0"
"11/2024","1268238","416734","0"
"12/2024","1284413","403189","0"
"01/2025","1229898","430049","0"
"02/2025","1239637","424846","0"
"03/2025","1227804","442984","0"
"04/2025","1229855","435114","0"
"05/2025","1228398","429183","0"
"06/2025","1232126","426429","0"
"07/2025","1173317","386049","0"
"08/2025","1149146","380138","0"
"09/2025","1138013","374881","0"
"10/2025","1120840","372866","0"
"11/2025","1108410","349218","0"
"12/2025","1158225","337169","0"
"01/2026","1151493","350050","0"
"02/2026","1145923","360699","0"
"03/2026","1156994","338668","7"
"04/2026","1175317","336536","7"
"05/2026","1196182","330748","7"
"06/2026","1214553","332207","7"
"08/2026","1215453","314039","0"
