Data,Familias Beneficiarias BS em pobreza,Familias Beneficiarias BS de baixa renda,Familias Beneficiarias BS renda per capita maior meio salario minimo,Beneficiarias BF feminino 0 a 3 anos,Beneficiarias BF feminino 4 a 6 anos,Beneficiarias BF feminino 7 a 15 anos,Beneficiarias BF feminino 16 a 17 anos,Beneficiarias BF feminino 18 a 24 anos,Beneficiarias BF feminino 25 a 34 anos,Beneficiarias BF feminino 35 a 39 anos,Beneficiarias BF feminino 40 a 44 anos,Beneficiarias BF feminino 45 a 49 anos,Beneficiarias BF feminino 50 a 54 anos,Beneficiarias BF feminino 55 a 59 anos,Beneficiarias BF feminino 60 a 64 anos,Beneficiarias BF feminino acima de 64 anos,Beneficiarias BF masculino 0 a 3 anos,Beneficiarias BF masculino 4 a 6 anos,Beneficiarias BF masculino 7 a 15 anos,Beneficiarias BF masculino 16 a 17 anos,Beneficiarias BF masculino 18 a 24 anos,Beneficiarias BF masculino 25 a 34 anos,Beneficiarias BF masculino 35 a 39 anos,Beneficiarias BF masculino 40 a 44 anos,Beneficiarias BF masculino 45 a 49 anos,Beneficiarias BF masculino 50 a 54 anos,Beneficiarias BF masculino 55 a 59 anos,Beneficiarias BF masculino 60 a 64 anos,Beneficiarias BF masculino acima de 64 anos,Quantidade de Benefícios de Renda de Cidadania (BRC),Quantidade de Benefícios Complementares (BCO),Quantidade de Benefícios Primeira Infância (BPI) PBF,Quantidade de Benefícios Variáveis Familiares Gestante (BVG),Quantidade de Benefícios Variáveis Familiares Nutriz (BVN),Quantidade de Benefícios Variáveis Familiares Criança (BV),Quantidade de Benefícios Variáveis Familiares Adolescente (BVA),Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,Quantidade de Benefícios Variáveis Familiares,Quantidade de Benefícios Extraordinários de Transição (BET),Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso
01/2015,,,,,,193745.0,37811.0,90804.0,141370.0,66883.0,50157.0,37363.0,26702.0,16824.0,9093.0,4760.0,,,201982.0,40553.0,63822.0,61372.0,35343.0,32375.0,26768.0,20620.0,15705.0,9808.0,6451.0,,,,,,,,,,,
01/2016,,,,71726.0,59182.0,176469.0,34594.0,89633.0,134346.0,61914.0,45696.0,33641.0,24647.0,15628.0,8620.0,3926.0,75568.0,61664.0,183565.0,36086.0,57011.0,56047.0,31234.0,28689.0,23567.0,18745.0,14206.0,8921.0,5008.0,,,,,,,,,,,
01/2017,,,,72534.0,56385.0,158004.0,31169.0,86441.0,125276.0,55849.0,40420.0,28836.0,21135.0,13281.0,7556.0,2671.0,76531.0,58772.0,164316.0,31293.0,52054.0,52734.0,28314.0,24899.0,20524.0,16357.0,12193.0,7776.0,3107.0,,,,,,,,,,,
01/2018,,,,73460.0,55812.0,148437.0,28087.0,89340.0,123229.0,54521.0,39547.0,28859.0,22071.0,14653.0,8746.0,4037.0,78275.0,58132.0,154081.0,27958.0,52603.0,53135.0,27799.0,24097.0,20402.0,16771.0,13281.0,9037.0,4252.0,,,,,,,,,,,
01/2019,,,,70126.0,53119.0,135641.0,24964.0,82397.0,116357.0,50241.0,37225.0,26836.0,21658.0,14736.0,9083.0,3688.0,73388.0,55661.0,140576.0,24984.0,46285.0,47997.0,25245.0,22367.0,18916.0,16693.0,13434.0,9538.0,3819.0,,,,,,,,,,,
01/2020,,,,61952.0,50927.0,128225.0,22447.0,73531.0,110228.0,47206.0,36098.0,26203.0,21418.0,15078.0,9497.0,4052.0,64737.0,53537.0,133312.0,22981.0,42111.0,44021.0,23013.0,21086.0,18118.0,16103.0,13378.0,9803.0,4190.0,,,,,,,,,,,
01/2021,,,,58165.0,56099.0,141147.0,24758.0,78221.0,121596.0,52585.0,41019.0,29870.0,23882.0,17764.0,11209.0,5401.0,60827.0,59147.0,147014.0,25709.0,48315.0,47732.0,24750.0,23177.0,19951.0,17749.0,15376.0,11437.0,5715.0,,,,,,,,,,,
01/2022,,,,73792.0,67731.0,172301.0,32737.0,97470.0,155060.0,67918.0,54507.0,40444.0,33006.0,25872.0,16763.0,8112.0,77190.0,71501.0,179534.0,33249.0,58865.0,58704.0,30374.0,29335.0,25911.0,23465.0,21401.0,16629.0,8317.0,,,,,,,,,,,
01/2023,,,,86342.0,75241.0,193714.0,36046.0,107992.0,180649.0,77350.0,64540.0,48122.0,39837.0,31562.0,20664.0,8087.0,90542.0,79238.0,202136.0,36316.0,60844.0,65100.0,32968.0,33684.0,30026.0,27871.0,26123.0,20740.0,8224.0,,,,,,,,,,,
01/2024,1351305.0,368453.0,0.0,92822.0,77867.0,199815.0,35108.0,108091.0,187921.0,79715.0,66483.0,50162.0,40582.0,32263.0,21183.0,5518.0,97136.0,82119.0,208755.0,35269.0,60385.0,63061.0,31713.0,32457.0,29360.0,27634.0,26799.0,21275.0,6263.0,1719754.0,559092.0,343186.0,17809.0,16675.0,409623.0,71400.0,481023.0,515507.0,5812.0,
01/2025,1229898.0,430049.0,0.0,90172.0,75755.0,196152.0,33461.0,99236.0,185865.0,78718.0,63479.0,48966.0,39307.0,31723.0,21540.0,5355.0,93191.0,79873.0,204780.0,33628.0,54314.0,58524.0,29891.0,29976.0,27597.0,26242.0,25588.0,20596.0,6013.0,1659941.0,544418.0,332334.0,38995.0,12328.0,402706.0,69167.0,471873.0,523196.0,4405.0,
01/2026,1151493.0,350050.0,0.0,80724.0,70162.0,181264.0,30720.0,85219.0,173500.0,72946.0,57957.0,44722.0,35361.0,27810.0,19545.0,4502.0,84782.0,74010.0,188713.0,31061.0,44847.0,49779.0,25796.0,26102.0,24407.0,22857.0,22136.0,17916.0,4705.0,1500929.0,494750.0,303151.0,22054.0,12204.0,371698.0,63633.0,435331.0,469589.0,,
02/2015,,,,65433.0,61549.0,,,,,,,,,,,,67766.0,64127.0,,,,,,,,,,,,,,,,,,,,,,
02/2016,,,,70719.0,59117.0,,,,,,,,,,,,74516.0,61624.0,,,,,,,,,,,,,,,,,,,,,,
02/2017,,,,71897.0,56695.0,,,,,,,,,,,,75926.0,58956.0,,,,,,,,,,,,,,,,,,,,,,
02/2018,,,,72799.0,56198.0,151957.0,29217.0,90702.0,124477.0,57127.0,42678.0,30006.0,23204.0,16264.0,9749.0,5377.0,77668.0,58597.0,157607.0,30414.0,60251.0,53129.0,28093.0,25243.0,20917.0,17585.0,13913.0,10041.0,5687.0,,,,,,,,,,,
02/2019,,,,69760.0,53787.0,140709.0,26026.0,82847.0,119617.0,52207.0,40119.0,28735.0,23008.0,16490.0,10168.0,5254.0,73102.0,56411.0,145983.0,26837.0,53439.0,48926.0,25370.0,23251.0,19856.0,17352.0,14306.0,10538.0,5501.0,,,,,,,,,,,
02/2020,,,,60756.0,50899.0,128265.0,22394.0,73148.0,110058.0,47110.0,36173.0,26199.0,21377.0,15134.0,9472.0,4082.0,63580.0,53488.0,133276.0,23093.0,42258.0,43896.0,22907.0,21084.0,18105.0,16050.0,13341.0,9805.0,4247.0,,,,,,,,,,,
02/2021,,,,59872.0,56799.0,143231.0,25388.0,79960.0,124320.0,53507.0,41578.0,30296.0,24400.0,18222.0,11610.0,5775.0,62687.0,59870.0,148856.0,26101.0,48745.0,48968.0,25238.0,23599.0,20339.0,18067.0,15862.0,11868.0,6159.0,,,,,,,,,,,
02/2022,,,,76916.0,70019.0,178756.0,33672.0,101806.0,161987.0,70668.0,56749.0,42041.0,34282.0,26840.0,17401.0,8493.0,80380.0,73994.0,186281.0,34190.0,61959.0,62004.0,31790.0,30609.0,26948.0,24315.0,22218.0,17204.0,8755.0,,,,,,,,,,,
02/2023,1514289.0,164925.0,0.0,85532.0,75038.0,193702.0,35883.0,107314.0,180301.0,77274.0,64544.0,48088.0,39772.0,31413.0,20677.0,8054.0,89643.0,79160.0,202032.0,36307.0,60836.0,64761.0,32803.0,33533.0,29921.0,27728.0,26024.0,20621.0,8251.0,,,,,,,,,,,
02/2024,1361779.0,356684.0,0.0,93111.0,77338.0,198222.0,34933.0,108369.0,187325.0,79290.0,66499.0,50518.0,40887.0,32785.0,21749.0,5856.0,97416.0,81901.0,207150.0,34908.0,60160.0,63217.0,31651.0,32432.0,29415.0,27850.0,27125.0,21692.0,6661.0,1718454.0,562817.0,343248.0,14848.0,18267.0,407119.0,73534.0,480653.0,513768.0,5697.0,
02/2025,1239637.0,424846.0,0.0,89212.0,75972.0,196810.0,33664.0,99247.0,186503.0,79104.0,63703.0,49249.0,39502.0,32013.0,21871.0,5613.0,92131.0,80187.0,205425.0,33856.0,54913.0,58637.0,29943.0,30099.0,27675.0,26398.0,25641.0,20830.0,6283.0,1664480.0,546843.0,330475.0,30276.0,11683.0,404288.0,71876.0,476164.0,518123.0,4379.0,
02/2026,1145923.0,360699.0,0.0,79712.0,70664.0,182569.0,30969.0,85121.0,174144.0,73358.0,58323.0,44895.0,35458.0,27948.0,19650.0,4794.0,83627.0,74508.0,189871.0,31434.0,45218.0,49836.0,25868.0,26269.0,24439.0,22902.0,22160.0,18001.0,4884.0,1505715.0,496630.0,301190.0,22710.0,10741.0,374416.0,66425.0,440841.0,474292.0,,
03/2015,,,,64396.0,61364.0,,,,,,,,,,,,66546.0,64025.0,,,,,,,,,,,,,,,,,,,,,,
03/2016,,,,70827.0,58017.0,,,,,,,,,,,,74864.0,60477.0,,,,,,,,,,,,,,,,,,,,,,
03/2017,,,,70565.0,56613.0,,,,,,,,,,,,74644.0,58709.0,,,,,,,,,,,,,,,,,,,,,,
03/2018,,,,72988.0,56558.0,152561.0,29316.0,91294.0,125283.0,57397.0,42809.0,30137.0,23302.0,16370.0,9805.0,5372.0,77857.0,59095.0,158046.0,30463.0,60185.0,53542.0,28268.0,25397.0,21024.0,17681.0,13994.0,10122.0,5649.0,,,,,,,,,,,
03/2019,,,,70434.0,54563.0,142307.0,26339.0,84262.0,121435.0,52947.0,40701.0,29131.0,23433.0,16848.0,10386.0,5388.0,73879.0,57403.0,147683.0,27075.0,53893.0,49899.0,25867.0,23598.0,20169.0,17607.0,14571.0,10767.0,5672.0,,,,,,,,,,,
