"Referência","Quantidade de pessoas do sexo feminino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"01/2015","","","193745","37811","90804","141370","66883","50157","37363","26702","16824","9093","4760"
"02/2015","65433","61549","","","","","","","","","","",""
"03/2015","64396","61364","","","","","","","","","","",""
"04/2015","64144","59349","","","","","","","","","","",""
"05/2015","63281","59172","","","","","","","","","","",""
"06/2015","63806","59726","","","","","","","","","","",""
"07/2015","64566","60294","","","","","","","","","","",""
"08/2015","64574","60311","","","","","","","","","","",""
"09/2015","68057","61593","","","","","","","","","","",""
"10/2015","69812","60813","","","","","","","","","","",""
"11/2015","68612","59058","","","","","","","","","","",""
"12/2015","70189","59995","","","","","","","","","","",""
"01/2016","71726","59182","176469","34594","89633","134346","61914","45696","33641","24647","15628","8620","3926"
"02/2016","70719","59117","","","","","","","","","","",""
"03/2016","70827","58017","","","","","","","","","","",""
"04/2016","71509","58435","","","","","","","","","","",""
"05/2016","70243","57874","","","","","","","","","","",""
"06/2016","70413","58125","","","","","","","","","","",""
"07/2016","72310","59160","","","","","","","","","","",""
"08/2016","71499","59061","","","","","","","","","","",""
"09/2016","74584","59558","","","","","","","","","","",""
"10/2016","74773","60114","","","","","","","","","","",""
"11/2016","72550","58266","","","","","","","","","","",""
"12/2016","73024","57915","","","","","","","","","","",""
"01/2017","72534","56385","158004","31169","86441","125276","55849","40420","28836","21135","13281","7556","2671"
"02/2017","71897","56695","","","","","","","","","","",""
"03/2017","70565","56613","","","","","","","","","","",""
"04/2017","70602","56279","","","","","","","","","","",""
"05/2017","69928","55799","155342","30103","87534","121375","57223","41475","29697","21781","14298","8165","3930"
"06/2017","69624","55605","154167","29743","87121","121091","56788","41124","29397","21593","14186","8118","3870"
"07/2017","66268","52078","143332","27244","80972","113310","52514","37942","27415","20436","13340","7712","3537"
"08/2017","70389","54537","148901","28286","86510","119742","54734","39587","28679","21510","14077","8232","3908"
"09/2017","70012","53517","145132","27370","85400","117668","53142","38531","28083","21205","13903","8163","3847"
"10/2017","70306","53948","145304","27324","85984","118434","53088","38527","28110","21271","14053","8245","3809"
"11/2017","71902","54462","146284","27509","87267","120093","53493","38935","28438","21698","14273","8464","3939"
"12/2017","72526","55011","146965","27740","88274","121412","53872","39195","28653","21854","14456","8576","3989"
"01/2018","73460","55812","148437","28087","89340","123229","54521","39547","28859","22071","14653","8746","4037"
"02/2018","72799","56198","151957","29217","90702","124477","57127","42678","30006","23204","16264","9749","5377"
"03/2018","72988","56558","152561","29316","91294","125283","57397","42809","30137","23302","16370","9805","5372"
"04/2018","70091","53962","144403","27355","85673","118968","53791","39989","28218","22018","15277","9271","4975"
"05/2018","71489","54776","146281","27671","87057","121025","54651","40542","28595","22293","15453","9339","4950"
"06/2018","70500","53758","141653","26678","85642","118806","52771","39266","27783","21864","15150","9219","4979"
"07/2018","70680","54060","142511","26799","85590","118843","52826","39299","27870","21926","15032","9133","4509"
"08/2018","71572","55042","144259","27054","86958","120857","53659","39903","28321","22232","15298","9329","4681"
"09/2018","69502","53348","138930","26069","84163","116802","51528","38514","27442","21679","14803","9102","4316"
"10/2018","70922","54222","140653","26337","85540","118833","52299","39073","27878","22157","15153","9313","4399"
"11/2018","72347","55323","142800","26684","87439","121488","53311","39839","28582","22693","15520","9555","4536"
"12/2018","72296","54679","140659","25950","86023","120674","52423","39269","28365","22744","15638","9595","4542"
"01/2019","70126","53119","135641","24964","82397","116357","50241","37225","26836","21658","14736","9083","3688"
"02/2019","69760","53787","140709","26026","82847","119617","52207","40119","28735","23008","16490","10168","5254"
"03/2019","70434","54563","142307","26339","84262","121435","52947","40701","29131","23433","16848","10386","5388"
"04/2019","70484","54778","142723","26328","84298","121783","52906","40726","29244","23501","16857","10471","5409"
"05/2019","71568","55662","144321","26549","85750","123828","53682","41293","29664","23916","17175","10678","5545"
"06/2019","69139","54217","139697","25406","82655","120201","51814","39907","28793","23297","16569","10349","5284"
"07/2019","67142","53425","137482","24929","80179","116899","50709","38998","28117","22715","16076","10002","4702"
"08/2019","66280","53346","136909","24727","79577","116470","50519","38885","28002","22618","15984","9939","4646"
"09/2019","62975","51263","131044","23395","75452","111484","48302","37177","26994","21877","15386","9620","4305"
"10/2019","62384","51221","130630","23210","74856","111112","48130","37012","26875","21759","15302","9526","4208"
"11/2019","61127","49863","126816","22328","72518","108096","46686","35929","26163","21282","14991","9378","4061"
"12/2019","60458","49827","126358","22154","72045","107738","46509","35778","26074","21159","14924","9298","3982"
"01/2020","61952","50927","128225","22447","73531","110228","47206","36098","26203","21418","15078","9497","4052"
"02/2020","60756","50899","128265","22394","73148","110058","47110","36173","26199","21377","15134","9472","4082"
"03/2020","61740","51401","129771","22664","73771","110862","47392","36445","26400","21521","15244","9566","3816"
"04/2020","68422","55622","139283","24502","82297","121731","51346","39583","28800","23548","16897","10677","4558"
"05/2020","67572","55807","139680","24355","82261","121840","51514","39775","28982","23634","17005","10759","4643"
"06/2020","65363","55988","140015","24427","81870","121914","51667","39959","29148","23741","17060","10854","4792"
"07/2020","64060","56083","140151","24443","81451","122076","51753","40146","29265","23767","17180","10899","4926"
"08/2020","62898","56106","140349","24414","81142","122078","51876","40324","29381","23771","17302","10966","5053"
"09/2020","61653","56159","140643","24450","80721","122061","52051","40570","29662","23827","17460","11032","5077"
"10/2020","60620","56294","0","0","0","0","0","0","0","0","0","0","0"
"11/2020","59670","56277","","","","","","","","","","",""
"12/2020","58864","56279","140918","24754","79067","121763","52552","41027","29917","24009","17793","11242","5558"
"01/2021","58165","56099","141147","24758","78221","121596","52585","41019","29870","23882","17764","11209","5401"
"02/2021","59872","56799","143231","25388","79960","124320","53507","41578","30296","24400","18222","11610","5775"
"03/2021","62460","58041","147029","26110","82271","128280","55342","43032","31512","25460","19107","12276","6190"
"04/2021","62353","58523","148081","26432","82512","129317","55954","43508","31943","25782","19428","12468","6379"
"05/2021","61102","58626","148149","26664","81702","129127","56263","43643","32106","25844","19492","12550","6575"
"06/2021","60267","58711","148245","26679","81215","129103","56327","43850","32245","25834","19610","12617","6723"
"07/2021","59209","58876","148455","26903","80711","129102","56525","44007","32389","25876","19683","12724","6841"
"08/2021","57967","58882","148407","26934","79796","128786","56557","44228","32476","25862","19726","12735","6958"
