Coluna,Qtd_Nulos
Municipio,0
Data,0
Pessoas beneficiarias BF em extrema pobreza,54264
Pessoas beneficiarias BF em pobreza,37905
Pessoas beneficiarias BF em baixa renda,37905
Pessoas beneficiarias BF renda per capita maior meio salario mi,51072
Beneficiarias BF feminino 0 a 3 anos,12369
Beneficiarias BF feminino 4 a 6 anos,12369
Beneficiarias BF feminino 7 a 15 anos,22344
Beneficiarias BF feminino 16 a 17 anos,22344
Beneficiarias BF feminino 18 a 24 anos,22344
Beneficiarias BF feminino 25 a 34 anos,22344
Beneficiarias BF feminino 35 a 39 anos,22344
Beneficiarias BF feminino 40 a 44 anos,22344
Beneficiarias BF feminino 45 a 49 anos,22344
Beneficiarias BF feminino 50 a 54 anos,22344
Beneficiarias BF feminino 55 a 59 anos,22344
Beneficiarias BF feminino 60 a 64 anos,22344
Beneficiarias BF feminino acima de 64 anos,22344
Beneficiarias BF masculino 0 a 3 anos,12369
Beneficiarias BF masculino 4 a 6 anos,12369
Beneficiarias BF masculino 7 a 15 anos,22344
Beneficiarias BF masculino 16 a 17 anos,22344
Beneficiarias BF masculino 18 a 24 anos,22344
Beneficiarias BF masculino 25 a 34 anos,22344
Beneficiarias BF masculino 35 a 39 anos,22344
Beneficiarias BF masculino 40 a 44 anos,22344
Beneficiarias BF masculino 45 a 49 anos,22344
Beneficiarias BF masculino 50 a 54 anos,22344
Beneficiarias BF masculino 55 a 59 anos,22344
Beneficiarias BF masculino 60 a 64 anos,22344
Beneficiarias BF masculino acima de 64 anos,22344
Beneficiarios CadUnico brancos,399
Beneficiarios CadUnico pretos,399
Beneficiarios CadUnico amarelos,399
Beneficiarios CadUnico pardos,399
Beneficiarios CadUnico indigenas,399
Beneficiarios CadUnico sem informacao raca/cor,399
Familias BF em situação de trabalho infantil,17019
Pessoas BF em situação de trabalho infantil,38966
